scrape_datetime,article_name,publish_date,item_brand,item_description,discount,discount_cleaned,count_limit,channel,discount_period,item_original_price,source_url
2025-05-14 12:31:28.245,Costco February 2024 Hot Buys Coupons,2024-02-01,Watehio,1se 0n1y “Lesser 8vi1 Hima1ayan 6o1d” jPopcom. ‘ag,,,,In-Warehouse,February 24th through March 3rd,,https://www.costcoinsider.com/wp-content/uploads/2024/02/Costco-February-2024-Hot-Buys-Coupons-Page-1-635x655.jpg
2025-05-14 12:31:30.546,Costco February 2024 Hot Buys Coupons,2024-02-01,Waretous,Warehousé on1y {Kirk1and $ignature Mint’ ikirdand ,,,,In-Warehouse,February 24th through March 3rd,,https://www.costcoinsider.com/wp-content/uploads/2024/02/Costco-February-2024-Hot-Buys-Coupons-Page-2-635x631.jpg
2025-05-14 12:31:32.361,Costco February 2024 Hot Buys Coupons,2024-02-01,Tn,"Waretiouse 0n1ine 0n1ine HP I4"" Chromebook 8und1e ",,,,In-Warehouse,February 24th through March 3rd,$99.99,https://www.costcoinsider.com/wp-content/uploads/2024/02/Costco-February-2024-Hot-Buys-Coupons-Page-3-635x657.jpg
2025-05-14 12:31:35.439,Costco February 2024 Hot Buys Coupons,2024-02-01,Pharmacy Hot,I ‘ 8uys I I ~ Va1id a/2a/ea = 9/9/24 I ° ° I Wi1d,,,,,February 24th through March 3rd,,https://www.costcoinsider.com/wp-content/uploads/2024/02/Costco-February-2024-Hot-Buys-Coupons-Page-5-635x317.jpg
2025-05-14 12:31:53.071,Costco April 2024 Hot Buys Coupons,2024-04-01,Ic,P0$ 0IN$IO8RO,,,,,April 1st through April 9th,,https://www.costcoinsider.com/wp-content/themes/Selin5.4/images/Costco-Insider4.png
2025-05-14 12:31:56.115,Costco April 2024 Hot Buys Coupons,2024-04-01,Anic Raw,I0R6 K0M8LCHA' R88 apy . pas) ‘ Warehousis 0n1y \ ,,,,In-Warehouse,April 1st through April 9th,,https://www.costcoinsider.com/wp-content/uploads/2024/04/Costco-April-2024-Hot-Buys-Page-1-635x640.jpg
2025-05-14 12:31:57.612,Costco April 2024 Hot Buys Coupons,2024-04-01,Is,"S9 After $4 0FF: usr, 888FU8RKY) = W s 8ans "" 0n1y",,,,In-Warehouse,April 1st through April 9th,$22.99,https://www.costcoinsider.com/wp-content/uploads/2024/04/Costco-April-2024-Hot-Buys-Page-2-635x664.jpg
2025-05-14 12:31:59.331,Costco April 2024 Hot Buys Coupons,2024-04-01,In-Warehouse,0n1ine Iide’ Pius Oowny H8 Liquid Laund1y Oetergen,,,,In-Warehouse,April 1st through April 9th,$3.60,https://www.costcoinsider.com/wp-content/uploads/2024/04/Costco-April-2024-Hot-Buys-Page-3-635x684.jpg
2025-05-14 12:32:01.219,Costco April 2024 Hot Buys Coupons,2024-04-01,Eamtess Corntort,"8ra’ 2pke LiAII8: $1écton vatoe$yincatos, I $I4.89",,,,In-Warehouse,April 1st through April 9th,$32.99,https://www.costcoinsider.com/wp-content/uploads/2024/04/Costco-April-2024-Hot-Buys-Page-4-635x667.jpg
2025-05-14 12:32:07.889,Costco May 2024 Hot Buys Coupons,2024-05-01,Ic,P0$ 0IN$IO8RO,,,,,Unknown,,https://www.costcoinsider.com/wp-content/themes/Selin5.4/images/Costco-Insider4.png
2025-05-14 12:32:10.758,Costco May 2024 Hot Buys Coupons,2024-05-01,Charmin,"0n1y. {Conventiona1 81ueberries; I8.02, ' ° UIMII ",,,,In-Warehouse,Unknown,$4.99,https://www.costcoinsider.com/wp-content/uploads/2024/05/Costco-May-2024-Hot-Buys-Coupons-Page-1-635x730.jpg
2025-05-14 12:32:13.263,Costco May 2024 Hot Buys Coupons,2024-05-01,War,hoiise 0n1y? N » In ehouse 0n1ine In ehouse 0n1ine,,,,In-Warehouse,Unknown,$23.09,https://www.costcoinsider.com/wp-content/uploads/2024/05/Costco-May-2024-Hot-Buys-Coupons-Page-2-635x690.jpg
2025-05-14 12:32:14.852,Costco May 2024 Hot Buys Coupons,2024-05-01,In,0n1 e. 2urd 8unch 0 8a11oons... Irop1ea1 Party Wat,,,,In-Warehouse,Unknown,,https://www.costcoinsider.com/wp-content/uploads/2024/05/Costco-May-2024-Hot-Buys-Coupons-Page-3-635x705.jpg
2025-05-14 12:32:17.358,Costco May 2024 Hot Buys Coupons,2024-05-01,In-Warehouse,0n1ine. A11er8ase 0rganic Cotton Iop A11ergy Prote,,,,In-Warehouse,Unknown,$0.09,https://www.costcoinsider.com/wp-content/uploads/2024/05/Costco-May-2024-Hot-Buys-Coupons-Page-4-635x672.jpg
2025-05-14 12:32:18.150,Costco May 2024 Hot Buys Coupons,2024-05-01,Rs,2 3 2z e § 2 @: 3 8w S 4 € s,,,,,Unknown,,https://www.costcoinsider.com/wp-content/uploads/2024/05/Costco-May-2024-Hot-Buys-Coupons-Page-5-635x291.jpg
2025-05-14 12:32:22.716,Costco June 2024 Hot Buys Coupons,2024-06-01,Ic,P0$ 0IN$IO8RO,,,,,Unknown,,https://www.costcoinsider.com/wp-content/themes/Selin5.4/images/Costco-Insider4.png
2025-05-14 12:32:25.511,Costco June 2024 Hot Buys Coupons,2024-06-01,Warehouse,"0n1ine Chanmin Uta $oft 8ath Iissue 2Ia $heets, 90",,,,In-Warehouse,Unknown,$29.99,https://www.costcoinsider.com/wp-content/uploads/2024/06/Costco-June-2024-Hot-Buys-Coupons-Page-1-635x670.jpg
2025-05-14 12:32:26.710,Costco June 2024 Hot Buys Coupons,2024-06-01,Warehouse,0n1y » 0n1ine Vegetab1e Irey vith Ranch Oip; i Kir,,,,In-Warehouse,Unknown,$24.99,https://www.costcoinsider.com/wp-content/uploads/2024/06/Costco-June-2024-Hot-Buys-Coupons-Page-2-635x664.jpg
2025-05-14 12:32:28.342,Costco June 2024 Hot Buys Coupons,2024-06-01,Pistachios,om aie Warehause. 0niine> i 0n1y . Phi1ips $onicar,,,,In-Warehouse,Unknown,$69.99,https://www.costcoinsider.com/wp-content/uploads/2024/06/Costco-June-2024-Hot-Buys-Coupons-Page-3-635x677.jpg
2025-05-14 12:32:29.890,Costco June 2024 Hot Buys Coupons,2024-06-01,Pe,"s In 0n1iia ‘ In 's 0ntine _; In 0n1ine, 8rita Cha",,,,In-Warehouse,Unknown,$24.99,https://www.costcoinsider.com/wp-content/uploads/2024/06/Costco-June-2024-Hot-Buys-Coupons-Page-4-635x561.jpg
2025-05-14 12:32:35.429,Costco July 2024 Hot Buys Coupons,2024-07-01,Ic,P0$ 0IN$IO8RO,,,,,Unknown,,https://www.costcoinsider.com/wp-content/themes/Selin5.4/images/Costco-Insider4.png
2025-05-14 12:32:39.253,Costco July 2024 Hot Buys Coupons,2024-07-01,Warehouse,"0n1y,, in 0n1ine Rad's Marinara $aiice ! { Oy$on V",,,,In-Warehouse,Unknown,$2.90,https://www.costcoinsider.com/wp-content/uploads/2024/07/Costco-July-2024-Hot-Buys-Coupons-Page-1-635x661.jpg
2025-05-14 12:32:40.864,Costco July 2024 Hot Buys Coupons,2024-07-01,Warehouse,"0n1irie Co1gate 0ptic White P1atinum, Ioothpaste“ ",,,,In-Warehouse,Unknown,,https://www.costcoinsider.com/wp-content/uploads/2024/07/Costco-July-2024-Hot-Buys-Coupons-Page-2-635x677.jpg
2025-05-14 12:32:43.196,Costco July 2024 Hot Buys Coupons,2024-07-01,War,house 0n1y . ‘$pindrift $park1ing Water Pink: Lemo,,,,In-Warehouse,Unknown,$3.70,https://www.costcoinsider.com/wp-content/uploads/2024/07/Costco-July-2024-Hot-Buys-Coupons-Page-3-635x636.jpg
2025-05-14 12:32:44.772,Costco July 2024 Hot Buys Coupons,2024-07-01,Kingsford,Professiona1 : Pure1ux 6a1 Memory Fearn’ $tarbucks,,,,,Unknown,,https://www.costcoinsider.com/wp-content/uploads/2024/07/Costco-July-2024-Hot-Buys-Coupons-Page-4-635x672.jpg
2025-05-14 12:32:46.623,Costco July 2024 Hot Buys Coupons,2024-07-01,Warehicuse,"on1y Ruff1e Is Potato Chips, 0rigina1 280% ($290 0",,,,In-Warehouse,Unknown,$79.99,https://www.costcoinsider.com/wp-content/uploads/2024/07/Costco-July-2024-Hot-Buys-Coupons-Page-5-635x631.jpg
2025-05-14 12:32:48.103,Costco July 2024 Hot Buys Coupons,2024-07-01,Wiih Costco,800K ? IRAV8L $IS0 8onus $hop 6ard =~ ‘8ookiby 7i2,,,,,Unknown,,https://www.costcoinsider.com/wp-content/uploads/2024/07/Costco-July-2024-Hot-Buys-Coupons-Page-6-635x658.jpg
